model, test_case, trials, image, blocksize_x, blocksize_y, rows, cols, total_pixels, avg_time(us)
BASE, baseline, 1000, earth_set/earth-7071-7071.jpg, , , 7071, 7071, 49999041, 88718.750000
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 4, 32, 10000, 10000, 100000000, 1273.826050
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 1, 1, 3535, 3535, 12496225, 7767.473145
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 1, 1, 10000, 10000, 100000000, 60874.160156
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 32, 8, 883, 883, 779689, 43.216999
GPGPU, sharedmemory, 100, earth_set/earth-15000-15000.jpg, 32, 4, 15000, 15000, 225000000, 2243.590088
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 32, 32, 15000, 15000, 225000000, 2898.844971
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 4, 32, 2500, 2500, 6250000, 122.796997
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 32, 4, 441, 441, 194481, 19.959999
BASE, baseline, 1000, earth_set/earth-15000-15000.jpg, , , 15000, 15000, 225000000, 396184.156250
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 32, 4, 7071, 7071, 49999041, 463.977997
BASE, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, , , 3535, 3535, 12496225, 6880.463867
BASE, baseline, 1000, earth_set/earth-10000-10000.jpg, , , 10000, 10000, 100000000, 178710.812500
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 32, 4, 220, 220, 48400, 9.228000
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 4, 32, 1250, 1250, 1562500, 82.308998
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 32, 1, 2500, 2500, 6250000, 168.565002
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 32, 4, 883, 883, 779689, 45.046001
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 32, 16, 2500, 2500, 6250000, 105.280998
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 32, 16, 7071, 7071, 49999041, 475.415985
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 32, 2, 220, 220, 48400, 7.669000
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 4, 32, 3535, 3535, 12496225, 220.242996
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 32, 2, 5000, 5000, 25000000, 298.609009
